,Appellation,Robert,Robinson,Suckling,Prix
568,Pessac-Léognan,94.0,16.5,93.0,45.50
569,Pessac-Léognan,90.0,,93.0,24.00
570,Margaux,96.0,18,98.0,133.00
571,Saint-Emilion,92.0,16,92.5,36.00
572,Pauillac,97.0,17.5,97.0,270.00
573,Saint-Emilion,92.0,16.5,96.0,99.00
574,Pauillac,97.0,19,100.0,850.00
575,Saint-Emilion,95.0,17,97.0,140.00
576,Saint-Julien,93.5,17,95.5,48.00
577,Saint-Emilion,90.0,16,92.5,41.00
578,Saint-Estèphe,92.0,16,93.5,29.00
579,Pessac-Léognan,100.0,18.5,97.0,890.00
580,Barsac,94.0,17.5,94.0,46.00
581,Médoc,88.0,,92.0,20.00
582,Pauillac,94.0,16,95.0,75.00
583,Saint-Emilion,91.0,15,88.5,54.00
584,Margaux,,16.5,93.0,38.00
585,Margaux,97.0,18,98.0,450.00
586,Pomerol,95.0,16,95.0,120.00
587,Pessac-Léognan,97.0,18,97.0,640.00
588,Saint-Julien,94.0,16,96.0,137.50
589,Médoc,90.0,15,94.0,35.33
590,Pessac-Léognan,,16,94.0,33.00
591,Pauillac,92.0,16.5,95.0,109.00
592,Pauillac,94.0,17.5,97.5,106.00
593,Sauternes,91.0,,91.0,24.00
594,Saint-Julien,94.0,,94.5,47.00
595,Pomerol,89.0,16,93.0,57.00
596,Saint-Estèphe,90.5,16.5,93.5,24.50
597,Pomerol,91.0,,92.5,31.00
598,Pessac-Léognan,95.0,,93.5,30.50
599,Saint-Emilion,87.0,16.5,93.0,46.00
600,Saint-Estèphe,90.0,16,94.0,32.00
601,Haut-Médoc,82.0,14,90.5,32.00
602,Listrac,91.0,15.5,90.0,18.00
603,Margaux,97.0,17.5,98.0,399.00
604,Haut-Médoc,,,91.0,15.08
605,Haut-Médoc,91.0,16.5,94.5,36.83
606,Saint-Julien,93.0,16.5,94.5,46.00
607,Pauillac,98.0,17.5,98.0,208.50
608,Saint-Emilion,,16.5,94.0,34.00
609,Saint-Emilion,92.0,16,93.0,38.00
610,Canon-Fronsac,90.0,,91.5,21.00
611,Margaux,94.0,16.5,95.5,48.00
612,Saint-Emilion,93.0,16,96.0,85.00
613,Pessac-Léognan,95.0,17.5,96.0,335.00
614,Saint-Emilion,95.0,16,95.0,105.00
615,Pauillac,93.0,17,95.0,143.00
616,Saint-Emilion,95.0,16.5,96.0,103.67
617,Pessac-Léognan,,16,92.5,30.00
618,Saint-Julien,94.0,16.5,95.5,83.00
619,Saint-Emilion,89.0,,95.0,32.00
620,Haut-Médoc,90.0,16,92.0,22.00
621,Pauillac,88.0,16.5,95.0,43.67
622,Saint-Emilion,94.0,17,97.0,136.00
623,Margaux,89.0,16,93.0,50.00
624,Saint-Emilion,94.0,16.5,98.5,72.00
625,Lalande de Pomerol,91.0,16.5,95.0,122.00
626,Castillon Côtes de Bordeaux,91.0,16,95.0,25.50
627,Pessac-Léognan,92.0,,91.5,23.42
628,Pauillac,92.0,16.5,95.5,193.50
629,Pauillac,93.0,16.5,95.0,61.00
630,Pomerol,90.0,,93.0,35.00
631,Pessac-Léognan,88.0,,92.5,103.33
632,Margaux,,16,93.5,40.00
633,Margaux,94.0,,96.5,49.00
634,Sauternes,93.0,,,69.58
635,Saint-Emilion,92.0,17,97.5,132.00
636,Pomerol,89.0,,91.5,29.00
637,Saint-Julien,95.0,17.5,98.0,289.00
638,Médoc,90.0,16.5,94.0,30.58
639,Pauillac,90.0,16.5,,31.00
640,Saint-Emilion,92.0,16,93.0,34.33
641,Saint-Julien,91.0,16,93.5,185.83
642,Margaux,94.0,17,95.5,64.83
643,Pomerol,89.0,16,95.5,69.83
644,Saint-Emilion,84.0,,95.0,39.00
645,Saint-Emilion,,16.5,94.0,37.42
646,Margaux,90.0,,92.5,25.00
647,Pauillac,91.0,15.5,93.0,58.00
648,Pessac-Léognan,96.0,17,99.0,162.17
649,Pauillac,94.0,17.5,96.0,95.00
650,Saint-Estèphe,95.5,17.5,98.5,166.00
651,Saint-Julien,94.0,16.5,96.0,78.00
652,Pauillac,90.0,15,,25.00
653,Pessac-Léognan,91.0,16,93.5,28.83
654,Pessac-Léognan,89.0,16.5,,29.50
655,Pessac-Léognan,94.0,16,95.5,145.00
656,Pauillac,95.0,16.5,95.5,420.00
657,Pauillac,,16,94.5,36.17
658,Pomerol,92.0,16,92.0,75.00
659,Pessac-Léognan,92.0,15.5,95.0,41.00
660,Margaux,95.0,17,,89.00
661,Pomerol,89.0,,,36.00
662,Pauillac,,16,,48.00
663,Pauillac,88.0,17,94.5,420.00
664,Saint-Julien,96.0,17,96.0,116.00
665,Saint-Emilion,92.0,15.5,94.0,37.00
666,Saint-Julien,86.5,,,109.17
667,Margaux,88.0,16,94.0,22.92
668,Saint-Estèphe,91.0,16,93.0,44.00
669,Sauternes,93.0,17,93.0,55.00
670,Saint-Emilion,89.0,,91.0,18.00
671,Margaux,91.5,16,93.5,35.00
672,Saint-Emilion,,16.5,95.5,28.00
673,Haut-Médoc,87.0,15,91.0,17.50
674,Saint-Emilion,93.0,15.5,95.0,40.00
675,Pessac-Léognan,91.0,,93.0,37.42
676,Saint-Estèphe,97.0,17,95.0,165.00
677,Saint-Emilion,95.0,17,97.5,101.67
678,Bordeaux Blancs Secs,92.0,,,21.67
679,Pessac-Léognan,92.0,16.5,96.0,175.00
680,Saint-Emilion,99.0,18,98.5,571.67
681,Saint-Emilion,92.0,,89.0,69.00
682,Pessac-Léognan,94.0,16.5,95.5,66.00
683,Castillon Côtes de Bordeaux,90.0,16,91.5,17.00
684,Saint-Emilion,92.0,16,95.5,31.67
685,Margaux,95.0,16.5,96.5,60.00
686,Saint-Emilion,90.0,16,94.0,43.00
687,Saint-Julien,89.0,16.5,93.5,226.67
688,Pomerol,84.0,16,94.0,80.00
689,Haut-Médoc,,,90.0,14.50
690,Haut-Médoc,85.0,16,93.5,142.50
691,Pauillac,100.0,18.5,100.0,895.00
692,Saint-Emilion,91.0,15.5,94.0,69.00
693,Pessac-Léognan,92.0,16,93.0,80.00
694,Saint-Emilion,94.0,17.5,94.0,415.00
695,Saint-Emilion,96.0,,96.0,78.00
696,Saint-Emilion,92.0,16,93.0,40.58
697,Saint-Emilion,96.0,16.5,94.5,245.00
698,Saint-Julien,,16,92.5,30.00
699,Pomerol,91.0,16,93.0,89.00
700,Pomerol,,,94.0,98.50
701,Saint-Emilion,91.0,16,95.0,53.00
702,Pomerol,,,95.5,66.00
703,Margaux,94.0,16.5,97.0,71.00
704,Pessac-Léognan,,15.5,91.5,160.00
705,Pessac-Léognan,85.5,15,91.0,19.50
706,Sauternes,89.0,,91.0,23.00
707,Sauternes,84.0,17,,32.00
708,Saint-Emilion,97.0,17,99.5,136.00
709,Saint-Julien,,16,93.5,54.00
710,Haut-Médoc,90.5,,92.5,130.00
711,Saint-Emilion,100.0,18,99.0,389.00
712,Pomerol,91.0,16,91.5,87.00
713,Saint-Emilion,,,92.0,29.00
714,Saint-Estèphe,92.5,16.5,94.0,45.00
715,Sauternes,91.0,15.5,92.0,41.00
716,Fronsac,90.0,16.5,93.0,22.92
717,Pauillac,95.0,17.5,97.0,95.00
718,Pauillac,96.0,17,96.0,120.00
719,Saint-Estèphe,93.0,16,95.0,199.00
720,Sauternes,96.0,15.5,98.0,70.67
721,Lalande de Pomerol,91.0,,91.5,16.50
722,Saint-Julien,95.0,17.5,96.5,85.00
723,Margaux,91.0,17,94.0,57.17
724,Saint-Emilion,,16.5,92.0,30.00
725,Moulis,83.0,15.5,90.0,28.00
726,Saint-Emilion,91.0,16,92.0,67.00
727,Pauillac,90.0,15.5,91.0,46.00
728,Barsac,,17,94.5,41.50
729,Pomerol,,,89.0,31.00
730,Barsac,96.0,17,96.0,89.00
731,Pessac-Léognan,92.0,16,94.0,47.00
732,Saint-Emilion,93.0,16.5,94.0,37.50
733,Saint-Emilion,92.0,16.5,93.0,41.08
734,Saint-Estèphe,95.0,17,96.5,115.00
735,Pauillac,90.0,16,95.5,251.67
736,Margaux,90.0,16,92.0,64.00
737,Margaux,95.0,17,96.0,64.00
738,Pessac-Léognan,87.0,15.5,91.5,23.00
739,Saint-Emilion,91.0,15.5,93.0,53.00
740,Margaux,95.0,16,96.5,370.00
741,Saint-Emilion,94.0,16,95.0,122.00
742,Pomerol,91.0,15.5,93.0,43.00
743,Fronsac,85.0,,92.0,24.00
744,Saint-Emilion,92.0,16.5,92.0,49.00
745,Pauillac,91.0,16,92.5,27.00
746,Margaux,,16,92.5,31.00
747,Pauillac,89.0,,94.0,53.00
748,Saint-Emilion,91.0,16,96.0,79.00
749,Saint-Julien,91.0,16,95.0,52.00
750,Saint-Estèphe,91.0,16,94.0,27.83
751,Saint-Emilion,90.0,16,91.5,32.00
752,Fronsac,84.0,,91.0,19.50
753,Pomerol,,,91.5,130.00
754,Saint-Julien,90.0,16.5,94.0,79.00
755,Margaux,87.0,16.5,92.5,27.00
756,Margaux,86.0,16.5,90.5,29.00
757,Saint-Emilion,94.0,16.5,95.5,384.67
758,Barsac,94.0,18,,103.00
759,Pauillac,97.0,17.5,99.0,192.33
760,Saint-Julien,97.0,18,98.0,319.00
761,Saint-Estèphe,92.0,16,94.5,36.50
762,Fronsac,88.5,,92.0,20.00
763,Pessac-Léognan,95.0,15.5,96.5,132.00
764,Pauillac,98.0,18,100.0,1050.00
765,Saint-Estèphe,92.0,16,93.5,45.50
766,Haut-Médoc,,,88.5,19.83
767,Pomerol,89.0,16.5,90.5,69.58
768,Pessac-Léognan,93.0,16,91.5,35.50
769,Haut-Médoc,89.0,16,90.0,60.00
770,Pauillac,88.0,16,,113.33
771,Pauillac,87.0,,92.5,160.00
772,Pessac-Léognan,97.0,17.5,97.0,180.00
773,Pomerol,83.0,15,94.0,104.00
774,Sauternes,,,88.0,25.00
775,Saint-Estèphe,91.0,16,93.5,185.83
776,Margaux,88.0,15.5,92.0,43.08
777,Saint-Julien,,17,96.5,179.00
778,Saint-Julien,93.0,17,95.5,341.67
779,Haut-Médoc,,,,16.00
780,Saint-Emilion,94.0,16.5,96.0,88.00
781,Saint-Emilion,,16,92.0,24.50
782,Saint-Emilion,92.0,16.5,93.0,135.00
783,Saint-Emilion,,,93.0,30.00
784,Sauternes,97.0,19,95.0,525.00
785,Pessac-Léognan,88.0,,92.0,22.00
786,Saint-Estèphe,90.0,16,93.0,29.00
787,Pauillac,94.0,16,95.5,40.00
788,Margaux,,,91.0,29.50
789,Haut-Médoc,,,91.0,16.50
790,Saint-Emilion,84.0,16,93.5,119.17
791,Saint-Emilion,97.0,17.5,99.0,519.00
792,Pessac-Léognan,92.0,,91.5,140.00
793,Saint-Emilion,,,91.5,85.00
794,Pomerol,91.0,,94.5,29.00
795,Saint-Estèphe,100.0,17.5,100.0,535.00
796,Sauternes,95.0,17.5,96.5,75.00
797,Pauillac,93.0,,95.0,56.00
798,Pomerol,81.0,16,87.5,27.00
799,Margaux,,,89.5,20.00
800,Pomerol,94.0,17,95.0,135.17
801,Bordeaux Blancs Secs,90.0,,93.0,90.00
802,Saint-Estèphe,87.0,16.5,91.5,113.33
803,Margaux,98.0,19,100.0,1190.00
804,Pauillac,94.0,16.5,95.5,69.00
805,Pomerol,94.5,17,95.5,86.00
806,Lalande de Pomerol,,17,92.5,18.50
807,Pomerol,90.0,,92.0,30.00
808,Margaux,90.0,17,94.5,251.67
809,Saint-Emilion,90.0,17,92.0,43.00
810,Saint-Estèphe,87.5,16.5,93.5,28.00
811,Saint-Emilion,,16.5,95.5,325.00
812,Saint-Julien,100.0,18,100.0,465.00
813,Haut-Médoc,,16.5,,294.00
814,Pessac-Léognan,92.0,16.5,92.0,33.83
815,Saint-Emilion,91.0,16,94.0,42.00
816,Canon-Fronsac,,,92.5,22.00
817,Saint-Julien,94.0,17.5,95.0,109.17
818,Saint-Estèphe,92.0,17,96.5,46.00
819,Bordeaux Blancs Secs,,17,,22.00
820,Margaux,89.0,16,94.5,48.00
821,Sauternes,90.0,17,88.0,49.00
822,Margaux,93.0,16.5,95.5,88.00
823,Médoc,85.0,,93.0,16.67
824,Pomerol,84.0,16.5,89.5,28.00
825,Haut-Médoc,,,92.0,21.50
826,Saint-Emilion,92.0,,93.0,33.00
827,Pauillac,88.0,17,96.0,260.00
828,Pomerol,87.0,,90.5,39.00
829,Saint-Estèphe,92.0,16,93.5,24.50
830,Pessac-Léognan,93.0,16.5,97.5,84.83
831,Pauillac,95.0,16.5,94.5,195.00
832,Bordeaux Blancs Secs,,,,27.33
833,Saint-Estèphe,94.0,17.5,96.5,588.33
834,Pessac-Léognan,91.0,,93.5,22.67
835,Saint-Emilion,95.0,17,96.5,1950.00
836,Margaux,94.0,16,96.5,56.17
837,Saint-Julien,,,92.0,25.00
838,Sauternes,90.0,16.5,,55.00
839,Graves,,16,92.0,18.00
840,Pessac-Léognan,91.0,17-,94.0,52.00
841,Pauillac,96.0,18,93.0,199.00
842,Castillon Côtes de Bordeaux,92.0,15.5,92.0,23.50
843,Margaux,92.0,16,94.0,133.00
844,Francs Côtes de Bordeaux,91.0,,93.0,20.83
845,Saint-Emilion,91.0,16,98.0,89.00
846,Pessac-Léognan,100.0,18,99.0,440.00
847,Saint-Emilion,,,93.0,33.83
848,Saint-Emilion,,16,93.0,30.67
849,Pessac-Léognan,94.0,18,97.0,105.00
850,Moulis,89.0,16,89.5,21.17
851,Pauillac,,,,72.00
852,Médoc,87.0,16,88.0,45.00
853,Fronsac,92.0,16.5,94.0,25.00
854,Saint-Emilion,95.0,15.5,96.0,90.00
855,Saint-Julien,94.0,16,94.5,43.00
856,Saint-Estèphe,92.0,16,92.5,19.00
857,Pomerol,94.0,16.5,95.0,100.83
858,Saint-Emilion,97.0,17,98.0,599.00
859,Margaux,,15,90.0,19.50
860,Pauillac,92.0,18,97.0,63.00
861,Pessac-Léognan,96.0,17.5,98.0,380.00
862,Saint-Emilion,93.0,17,94.0,47.83
863,Saint-Julien,96.0,17,96.5,235.00
864,Margaux,,,92.0,26.00
865,Pomerol,92.0,16,93.5,99.00
866,Saint-Julien,94.0,16.5,96.0,86.00
867,Francs Côtes de Bordeaux,91.0,,94.0,43.33
868,Saint-Emilion,96.0,,98.0,190.00
869,Pessac-Léognan,95.0,19,,390.00
870,Saint-Emilion,94.0,15.5,94.0,70.00
871,Pauillac,91.0,17,92.0,48.00
872,Saint-Julien,,16.5,94.5,408.33
873,Pessac-Léognan,,16,91.5,18.83
874,Saint-Emilion,91.0,,94.0,41.00
875,Saint-Julien,93.0,17,95.0,109.00
876,Haut-Médoc,,15.5,91.5,19.00
877,Saint-Emilion,94.0,16,93.0,55.00
878,Pomerol,90.0,15.5,95.5,53.00
879,Saint-Estèphe,91.0,15.5,92.5,165.00
880,Pauillac,97.0,17.5,95.0,399.00
881,Sauternes,89.0,15.5,,44.00
882,Saint-Emilion,91.0,16.5,93.0,36.00
883,Margaux,91.0,16.5,97.0,76.00
884,Margaux,92.0,16.5,93.0,43.00
885,Pomerol,91.0,16.5,95.0,111.33
886,Pessac-Léognan,99.0,18,100.0,875.00
887,Pomerol,91.0,,93.0,66.00
888,Haut-Médoc,90.0,,91.0,18.67
889,Pauillac,,15.5,,26.00
890,Margaux,95.0,17,98.0,620.00
891,Margaux,93.0,16,94.0,42.00
892,Sauternes,83.0,,,20.00
893,Margaux,,,92.0,39.00
894,Saint-Julien,91.0,16.5,93.5,49.00
895,Lalande de Pomerol,87.0,,89.0,17.17
896,Saint-Emilion,,16.5,93.5,26.17
897,Margaux,94.0,16.5,93.5,251.67
898,Haut-Médoc,,14.5,92.0,17.17
899,Saint-Emilion,89.0,,92.0,62.00
900,Saint-Estèphe,91.0,16.5,94.0,51.00
901,Pessac-Léognan,89.0,,94.0,24.00
902,Pauillac,100.0,17.5,99.0,275.00
903,Sauternes,80.0,15,,37.00
904,Pessac-Léognan,96.0,17.5,98.0,179.00
905,Saint-Emilion,97.0,17.5,97.0,490.00
906,Saint-Estèphe,94.0,16.5,96.5,428.33
907,Saint-Emilion,93.0,16,92.0,42.00
908,Saint-Estèphe,94.0,16.5,96.5,594.17
909,Pauillac,92.0,17,95.0,57.00
910,Saint-Emilion,90.0,15.5,94.0,40.00
911,Saint-Emilion,,16,94.5,28.67
912,Bordeaux,,17,,20.00
913,Pomerol,92.0,16,95.0,99.00
914,Saint-Emilion,,15,89.5,37.00
915,Sauternes,95.0,16,93.0,133.00
916,Saint-Julien,89.0,17,92.5,142.50
917,Pomerol,93.0,17,96.0,79.00
918,Sauternes,93.0,17.5,92.0,49.33
919,Sauternes,90.0,16,95.5,77.00
920,Barsac,95.0,16.5,96.0,44.00
921,Pomerol,,,92.5,35.00
922,Saint-Emilion,91.0,,92.0,30.00
923,Saint-Julien,90.0,16.5,94.5,335.83
924,Saint-Emilion,88.0,,,30.00
925,Médoc,89.0,16,92.0,33.33
926,Saint-Emilion,94.0,17,99.0,215.00
927,Saint-Emilion,97.0,17.5,97.5,245.00
928,Saint-Emilion,91.0,16,92.0,47.00
929,Haut-Médoc,90.0,16,93.0,19.50
930,Pomerol,91.0,15,90.5,53.00
931,Saint-Emilion,89.0,15,93.0,39.00
932,Saint-Emilion,93.0,14,94.5,101.00
933,Margaux,93.0,16.5,94.0,49.92
934,Saint-Emilion,,,92.0,26.00
935,Saint-Julien,93.0,18.5,96.0,65.00
936,Saint-Julien,95.0,17.5,97.5,199.00
937,Pessac-Léognan,95.0,17,93.0,289.00
938,Pauillac,95.0,18,96.0,99.00
939,Saint-Emilion,96.0,17,98.0,119.00
940,Montagne-Saint-Emilion,,,91.5,21.83
941,Saint-Julien,92.0,16.5,93.0,106.00
942,Margaux,93.0,16.5,94.0,60.00
943,Saint-Emilion,91.0,16,95.0,47.00
944,Saint-Julien,93.0,16.5,,299.17
945,Pauillac,90.0,,,33.00
946,Pauillac,89.5,,92.5,36.67
947,Saint-Estèphe,87.0,,91.5,168.33
948,Saint-Emilion,,,91.0,16.00
949,Saint-Estèphe,87.0,16,94.0,39.33
950,Moulis,,15.5,87.5,32.50
951,Saint-Emilion,94.0,17.5,97.0,145.00
952,Pomerol,92.0,,94.0,78.00
953,Moulis,87.0,16,91.5,125.00
954,Sauternes,99.0,18,99.0,550.00
955,Saint-Emilion,89.0,15,92.5,38.00
956,Margaux,96.0,17.5,99.5,524.17
957,Pomerol,,,93.5,27.00
958,Margaux,87.0,16,93.0,29.00
959,Pauillac,92.0,17,94.5,53.00
960,Pauillac,92.5,16,93.5,50.50
961,Saint-Julien,92.0,16.5,95.5,55.83
962,Saint-Emilion,94.0,16,92.0,50.00
963,Bordeaux Supérieur,,,90.5,5.42
964,Pomerol,,,93.5,48.00
965,Saint-Julien,,,93.0,32.25
966,Saint-Julien,92.0,,96.5,630.00
967,Pessac-Léognan,94.0,16,95.0,118.00
968,Haut-Médoc,86.0,16.5,93.0,46.00
969,Pessac-Léognan,97.0,16,99.0,195.00
970,Sauternes,88.0,18,,39.00
971,Margaux,93.0,17,94.0,55.00
972,Fronsac,90.0,,90.5,12.00
973,Pomerol,92.0,16,93.0,54.92
974,Saint-Emilion,97.0,16,95.0,125.00
975,Margaux,89.0,,91.0,24.50
976,Saint-Emilion,91.0,16,93.5,32.00
977,Saint-Estèphe,91.0,16.5,94.5,40.00
978,Pomerol,93.0,17-,96.0,99.00
979,Saint-Emilion,95.0,15.5,94.0,444.00
980,Haut-Médoc,84.0,15,90.0,15.50
981,Saint-Emilion,93.0,,94.0,46.83
982,Margaux,,16.5,95.0,54.33
983,Pessac-Léognan,92.0,,93.5,23.00
984,Montagne-Saint-Emilion,88.0,15.5,92.0,33.50
985,Saint-Emilion,,,95.0,49.67
986,Haut-Médoc,,15.5,92.0,35.92
987,Saint-Estèphe,92.0,16.5,94.0,70.00
988,Saint-Emilion,98.0,16.5,98.0,475.00
989,Pauillac,97.0,17.5,99.0,219.00
990,Saint-Emilion,100.0,17.5,98.0,170.00
991,Saint-Emilion,94.0,17.5,98.0,388.00
992,Margaux,93.0,17.5,95.0,68.00
993,Saint-Emilion,94.0,16,94.5,78.67
994,Margaux,93.0,16.5,96.5,177.00
995,Margaux,98.0,18,99.0,1110.00
996,Saint-Emilion,94.0,16.5,94.5,504.17
997,Pauillac,91.0,17,93.5,52.00
998,Pomerol,88.0,,90.0,95.00
999,Saint-Julien,90.0,,94.5,193.33
1000,Sauternes,87.0,17,98.0,70.00
1001,Saint-Julien,93.0,16.5,93.5,185.83
1002,Margaux,,15.5,94.0,65.00
1003,Graves,89.0,16.5,90.0,17.50
1004,Saint-Emilion,86.0,,93.0,35.00
1005,Saint-Emilion,93.0,,97.0,129.00
1006,Saint-Emilion,92.0,16,93.0,63.00
1007,Pauillac,96.0,16.5,95.0,880.00
1008,Saint-Emilion,,15.5,,22.67
1009,Saint-Emilion,96.0,17.5,98.0,199.00
1010,Saint-Estèphe,91.0,17,91.0,45.08
1011,Margaux,,16,,146.67
1012,Saint-Emilion,,14,93.0,39.00
1013,Margaux,99.0,18.5,99.0,990.00
1014,Saint-Julien,98.0,18.5,98.0,475.00
1015,Sauternes,95.0,18,97.0,79.00
1016,Castillon Côtes de Bordeaux,92.0,16,,22.33
1017,Barsac,92.0,16.5,,59.00
1018,Margaux,94.0,15.5,95.0,58.00
1019,Margaux,92.0,15.5,94.0,48.00
1020,Saint-Estèphe,,,89.5,19.00
1021,Saint-Emilion,,,91.0,24.00
1022,Sauternes,91.0,,93.0,25.00
1023,Saint-Emilion,90.0,,91.0,53.00
1024,Saint-Emilion,89.0,16.5,96.5,251.67
1025,Pomerol,94.0,17.5,97.0,129.00
1026,Pomerol,,,91.0,58.00
1027,Haut-Médoc,87.0,14.5,90.0,34.00
1028,Saint-Emilion,87.0,15.5,94.0,52.00
1029,Pauillac,96.0,17.5,96.5,152.33
1030,Saint-Emilion,90.0,14.5,92.0,87.00
1031,Saint-Emilion,90.0,16,91.5,35.00
1032,Pessac-Léognan,95.0,17,97.5,262.00
1033,Saint-Estèphe,95.0,17,98.0,186.00
1034,Sauternes,97.0,18.5,99.0,505.00
1035,Saint-Emilion,92.0,,91.5,29.00
1036,Saint-Emilion,91.0,16.5,91.0,24.50
1037,Barsac,94.0,16.5,93.0,39.00
1038,Haut-Médoc,,,92.0,22.00
1039,Pessac-Léognan,95.0,17,98.5,132.83
1040,Médoc,91.0,16,94.0,37.42
1041,Margaux,88.5,15.5,94.5,22.67
1042,Saint-Emilion,96.0,17,94.0,655.00
1043,Pessac-Léognan,92.0,16,97.0,49.00
1044,Bordeaux Blancs Secs,88.0,,93.0,85.00
1045,Saint-Emilion,91.0,,92.0,42.00
1046,Margaux,94.0,17.5,97.5,1931.67
1047,Margaux,94.5,16.5,95.5,58.17
1048,Pauillac,88.0,16,93.5,195.00
1049,Barsac,96.0,16,94.0,45.00
1050,Margaux,94.0,17,94.0,120.00
1051,Sauternes,93.0,18,93.5,105.00
1052,Saint-Emilion,95.0,17,96.0,103.00
1053,Saint-Julien,87.0,16,,109.17
1054,Saint-Emilion,98.0,18.5,98.0,450.00
1055,Pauillac,91.0,17,,38.00
1056,Saint-Emilion,98.0,16.5,94.0,761.67
1057,Saint-Emilion,,16,94.5,30.33
1058,Saint-Emilion,,,94.5,51.00
1059,Saint-Emilion,94.0,16.5,96.0,140.00
1060,Margaux,98.0,17,100.0,990.00
1061,Saint-Emilion,90.0,,,210.00
1062,Margaux,90.0,16,94.0,27.00
1063,Pomerol,93.5,16.5,94.5,69.83
1064,Pauillac,87.0,16.5,93.5,34.00
1065,Haut-Médoc,,15,92.5,22.83
1066,Saint-Julien,94.0,17,97.5,677.50
1067,Margaux,,16,,90.00
1068,Saint-Emilion,92.0,15,95.0,115.00
1069,Pomerol,,16.5,95.5,52.33
1070,Saint-Emilion,93.0,16.5,94.0,86.00
1071,Saint-Emilion,,16.5,91.5,49.00
1072,Pomerol,95.0,17.5,97.5,270.00
1073,Saint-Emilion,92.0,16,98.0,86.00
1074,Pauillac,90.0,17,96.0,46.00
1075,Saint-Emilion,,15.5,94.5,32.00
1076,Saint-Emilion,90.0,16,91.5,135.00
1077,Saint-Emilion,94.0,15.5,94.0,72.00
1078,Pomerol,95.0,,96.0,117.50
1079,Saint-Estèphe,91.0,16,93.5,100.83
1080,Margaux,,16.5,93.5,201.67
1081,Saint-Emilion,92.0,,94.0,35.00
1082,Moulis,89.0,15,94.0,36.17
1083,Haut-Médoc,89.0,16,92.0,31.60
1084,Margaux,100.0,18,100.0,1065.00
1085,Sauternes,92.0,18,97.0,61.00
1086,Saint-Emilion,94.0,16.5,95.5,504.17
1087,Pauillac,91.5,17,,570.83
1088,Pomerol,88.0,15.5,93.5,279.17
1089,Margaux,,,91.0,19.00
1090,Margaux,90.5,16.5,93.5,335.83
1091,Saint-Emilion,,17,95.0,450.00
1092,Pauillac,,,90.0,24.50
1093,Margaux,91.5,17,93.5,201.67
1094,Saint-Emilion,100.0,15.5,99.0,470.00
1095,Pomerol,89.0,17,94.0,76.00
1096,Pessac-Léognan,92.0,16,95.0,99.00
1097,Pomerol,,,95.0,72.00
1098,Margaux,,16,93.5,168.33
1099,Margaux,93.0,17,96.0,79.17
1100,Bordeaux,,16.5,,20.00
1101,Saint-Julien,95.0,15,96.5,219.00
1102,Saint-Emilion,93.0,16,96.0,56.00
1103,Barsac,87.0,17,89.0,49.00
1104,Pomerol,93.0,15.5,92.0,73.00
1105,Sauternes,88.0,,,35.00
1106,Pessac-Léognan,99.0,19,97.0,1095.00
1107,Pauillac,90.0,14,93.0,45.00
1108,Saint-Julien,96.0,16.5,98.0,305.00
1109,Saint-Emilion,95.0,16.5,96.0,110.00
1110,Sauternes,94.0,17.5,95.0,64.00
1111,Pessac-Léognan,91.0,16.5,96.0,170.00
1112,Saint-Emilion,,15,92.0,26.50
1113,Saint-Julien,87.0,15,,50.83
1114,Pomerol,91.0,15.5,93.0,84.00
1115,Saint-Emilion,94.0,16.5,93.0,54.00
1116,Haut-Médoc,85.0,16,89.0,39.58
1117,Pomerol,89.0,15.5,95.0,120.00
1118,Margaux,,,,84.17
1119,Pomerol,91.0,,93.5,36.00
1120,Haut-Médoc,87.0,16.5,88.0,62.00
1121,Pauillac,92.0,17.5,97.5,1788.33
1122,Saint-Emilion,94.0,16.5,,49.00
1123,Haut-Médoc,,,92.0,17.00
1124,Lalande de Pomerol,90.0,16.5,91.5,150.00
1125,Montagne-Saint-Emilion,90.0,16.5,89.5,26.00
1126,Pomerol,88.0,,94.5,42.50
1127,Pauillac,88.0,16.5,95.5,765.00
1128,Saint-Emilion,96.0,17.5,98.0,1825.00
1129,Margaux,87.0,17,91.5,86.00
1130,Saint-Emilion,98.0,18.5,99.0,925.00
1131,Sauternes,,18,,279.17
1132,Margaux,,,92.0,50.00
1133,Pessac-Léognan,88.0,,92.5,22.50
1134,Bordeaux Blancs Secs,,,,14.00
1135,Haut-Médoc,91.0,,92.0,16.67
1136,Canon-Fronsac,,,91.5,105.00
1137,Saint-Emilion,87.0,,92.0,28.08
1138,Haut-Médoc,87.5,15.5,,69.00
1139,Margaux,,16,93.5,54.00
1140,Saint-Emilion,90.0,15,,115.00
1141,Haut-Médoc,89.0,,,14.00
1142,Haut-Médoc,92.0,16,93.0,37.00
1143,Saint-Emilion,93.0,16.5,94.0,85.00
1144,Saint-Emilion,98.0,17.5,100.0,1950.00
1145,Haut-Médoc,,14.5,,21.67
1146,Haut-Médoc,,,89.5,14.83
1147,Saint-Emilion,100.0,18.5,99.0,1490.00
1148,Pomerol,91.0,,94.0,65.42
1149,Saint-Estèphe,89.0,16.5,,26.25
1150,Saint-Emilion,93.0,16.5,96.0,243.33
1151,Saint-Julien,88.0,,93.0,58.00
1152,Listrac,89.0,16.5,87.5,19.00
1153,Saint-Emilion,91.0,16,93.0,77.00
