,Appellation,Robert,Robinson,Suckling,Prix
130,Saint-Estèphe,86.0,16.5,88.0,30.00
131,Saint-Estèphe,97.0,18.5,97.0,280.00
132,Moulis,89.0,14,92.0,42.08
133,Saint-Emilion,89.0,16,91.0,49.00
134,Pomerol,90.0,16.5,92.0,47.83
135,Saint-Emilion,93.0,15.5,93.0,69.00
136,Pauillac,94.0,16.5,95.0,115.50
137,Lalande de Pomerol,92.0,16.5,93.0,40.83
138,Saint-Julien,95.0,16.5,98.0,310.00
139,Pessac-Léognan,90.0,17,92.0,33.83
140,Pauillac,94.0,17,96.0,49.00
141,Haut-Médoc,87.0,17,93.0,64.50
142,Margaux,92.0,16.5,96.0,46.00
143,Barsac,95.0,17,94.0,47.00
144,Lalande de Pomerol,90.0,16,93.0,30.00
145,Moulis,92.0,16,92.0,44.17
146,Pomerol,91.0,16,94.0,34.00
147,Pessac-Léognan,96.0,17.5,99.0,179.00
148,Saint-Estèphe,91.0,,91.0,24.42
149,Barsac,94.0,16,91.0,79.00
150,Saint-Julien,97.0,18,99.0,389.00
151,Haut-Médoc,,,90.0,14.00
152,Pessac-Léognan,88.0,,95.0,31.50
153,Pauillac,90.0,15,91.5,40.67
154,Saint-Julien,95.0,15.5,93.0,58.00
155,Pessac-Léognan,95.0,18,98.0,275.00
156,Haut-Médoc,,,,146.00
157,Saint-Julien,94.0,16.5,96.0,58.00
158,Haut-Médoc,91.0,15.5,93.0,42.00
159,Saint-Julien,91.0,17,94.0,41.00
160,Saint-Emilion,96.0,14.5,98.0,180.00
161,Saint-Estèphe,99.0,16,98.0,368.00
162,Saint-Julien,92.0,16.5,94.0,47.00
163,Saint-Emilion,92.0,15.5,95.0,46.00
164,Saint-Emilion,87.0,16,94.0,43.00
165,Margaux,92.0,15.5,95.0,109.00
166,Saint-Emilion,96.0,16,98.0,149.00
167,Saint-Julien,94.0,18,97.0,113.00
168,Pessac-Léognan,96.0,16,97.0,199.00
169,Haut-Médoc,90.0,15.5,96.0,105.00
170,Francs Côtes de Bordeaux,88.0,16,94.0,25.50
171,Margaux,94.0,15.5,93.0,69.00
172,Saint-Julien,98.0,16,99.0,366.00
173,Haut-Médoc,88.0,,91.0,20.00
174,Pomerol,91.0,,93.0,43.25
175,Pomerol,88.0,,91.0,42.92
176,Haut-Médoc,85.0,15,93.0,32.00
177,Moulis,93.0,16.5,94.0,33.00
178,Haut-Médoc,89.0,,,11.00
179,Margaux,91.0,16.5,95.0,38.00
180,Haut-Médoc,93.0,17,95.0,52.00
181,Saint-Julien,94.0,17,96.0,88.42
182,Saint-Julien,91.0,16.5,92.0,82.00
183,Pauillac,92.0,16.5,94.0,49.00
184,Graves,,15.5,90.5,16.00
185,Saint-Julien,93.0,17.5,96.0,71.00
186,Saint-Estèphe,90.0,17,95.0,40.00
187,Sauternes,100.0,18,98.0,625.00
188,Haut-Médoc,92.0,16.5,92.5,34.00
189,Pessac-Léognan,92.0,16,92.0,35.33
190,Pauillac,89.0,17,96.0,42.00
191,Listrac,83.5,16,90.0,16.00
192,Haut-Médoc,92.0,16,94.0,39.00
193,Pessac-Léognan,91.0,,91.5,31.00
194,Saint-Estèphe,,15.5,92.0,23.50
195,Saint-Estèphe,92.0,15.5,96.0,52.00
196,Moulis,91.0,16,93.0,32.00
197,Saint-Emilion,91.0,16.5,94.0,33.00
198,Margaux,95.0,16.5,96.0,70.00
199,Saint-Estèphe,89.0,16.5,93.0,54.58
200,Pessac-Léognan,87.5,16.5,93.0,28.00
201,Pomerol,89.0,,91.0,32.00
202,Saint-Emilion,92.0,15.5,95.0,65.00
203,Saint-Emilion,89.0,16.5,94.0,42.92
204,Saint-Estèphe,94.0,,96.0,49.00
205,Margaux,90.0,16.5,93.0,38.00
206,Pauillac,90.0,16,93.0,48.00
207,Saint-Emilion,93.0,16,94.0,61.00
208,Saint-Julien,90.0,16.5,,25.50
209,Sauternes,94.0,17,98.0,365.00
210,Moulis,89.0,16.5,92.0,28.00
211,Listrac,85.0,16,88.5,14.00
212,Margaux,87.0,16,92.0,31.00
213,Saint-Julien,90.5,,93.0,27.00
214,Bordeaux,88.0,,89.0,10.92
215,Saint-Emilion,92.0,16.5,94.0,81.67
216,Saint-Emilion,,16,94.0,36.00
217,Saint-Estèphe,91.0,16,94.0,41.92
