Appellation,Robert,Robinson,Suckling,Prix
Pomerol,None,None,94,98.50
Saint-Emilion,91.0,16,95,53.00
Pomerol,None,None,95.5,66.00
Margaux,94,16.5,97,71.00
Pessac-Léognan,None,15.5,91.5,160.00
Pessac-Léognan,85.5,15,91,19.50
Sauternes,89.0,None,91,23.00
Sauternes,84,17,None,32.00
Saint-Emilion,97.0,17,99.5,136.00
Saint-Julien,None,16,93.5,54.00
Haut-Médoc,90.5,None,92.5,130.00
Saint-Emilion,100,18,99,389.00
Pomerol,91.0,16,91.5,87.00
Saint-Emilion,None,None,92,29.00
Saint-Estèphe,92.5,16.5,94,45.00
Sauternes,91.0,15.5,92,41.00
Fronsac,90,16.5,93,22.92
Pauillac,95,17.5,97,95.00
Pauillac,96,17,96,120.00
Saint-Estèphe,93,16,95,199.00
Sauternes,96,15.5,98,70.67
Lalande de Pomerol,91.0,None,91.5,16.50
Saint-Julien,95.0,17.5,96.5,85.00
Margaux,91.0,17,94,57.17
Saint-Emilion,None,16.5,92,30.00
Moulis,83.0,15.5,90,28.00
Saint-Emilion,91,16,92,67.00
Pauillac,90.0,15.5,91,46.00
Barsac,None,17,94.5,41.50
Pomerol,None,None,89,31.00
Barsac,96,17,96,89.00
Pessac-Léognan,92,16,94,47.00
Saint-Emilion,93,16.5,94,37.50
Saint-Emilion,92.0,16.5,93,41.08
Saint-Estèphe,95.0,17,96.5,115.00
Pauillac,90.0,16,95.5,251.67
Margaux,90,16,92,64.00
Margaux,95,17,96,64.00
Pessac-Léognan,87,15.5,91.5,23.00
Saint-Emilion,91,15.5,93,53.00
Margaux,95,16,96.5,370.00
Saint-Emilion,94,16,95,122.00
Pomerol,91.0,15.5,93,43.00
Fronsac,85,None,92,24.00
Saint-Emilion,92,16.5,92,49.00
Pauillac,91.0,16,92.5,27.00
Margaux,None,16,92.5,31.00
Pauillac,89,None,94,53.00
Saint-Emilion,91,16,96,79.00
Saint-Julien,91.0,16,95,52.00
Saint-Estèphe,91.0,16,94,27.83
Saint-Emilion,90,16,91.5,32.00
Fronsac,84,None,91,19.50
Pomerol,None,None,91.5,130.00
Saint-Julien,90,16.5,94,79.00
Margaux,87,16.5,92.5,27.00
Margaux,86,16.5,90.5,29.00
Saint-Emilion,94,16.5,95.5,384.67
Barsac,94,18,None,103.00
Pauillac,97,17.5,99,192.33
Saint-Julien,97,18,98,319.00
Saint-Estèphe,92.0,16,94.5,36.50
Fronsac,88.5,None,92,20.00
Pessac-Léognan,95,15.5,96.5,132.00
Pauillac,98,18,100,1 050.00
Saint-Estèphe,92.0,16,93.5,45.50
Haut-Médoc,None,None,88.5,19.83
Pomerol,89.0,16.5,90.5,69.58
Pessac-Léognan,93.0,16,91.5,35.50
Haut-Médoc,89,16,90,60.00
Pauillac,88.0,16,None,113.33
Pauillac,87.0,None,92.5,160.00
Pessac-Léognan,97,17.5,97,180.00
Pomerol,83,15,94,104.00
Sauternes,None,None,88,25.00
Saint-Estèphe,91.0,16,93.5,185.83
Margaux,88,15.5,92,43.08
Saint-Julien,None,17,96.5,179.00
Saint-Julien,93.0,17,95.5,341.67
Haut-Médoc,None,None,None,16.00
Saint-Emilion,94,16.5,96,88.00
Saint-Emilion,None,16,92,24.50
Saint-Emilion,92,16.5,93,135.00
Saint-Emilion,None,None,93,30.00
Sauternes,97,19,95,525.00
Pessac-Léognan,88,None,92,22.00
Saint-Estèphe,90.0,16,93,29.00
Pauillac,94.0,16,95.5,40.00
Margaux,None,None,91,29.50
Haut-Médoc,None,None,91,16.50
Saint-Emilion,84.0,16,93.5,119.17
Saint-Emilion,97,17.5,99,519.00
Pessac-Léognan,92.0,None,91.5,140.00
Saint-Emilion,None,None,91.5,85.00
Pomerol,91.0,None,94.5,29.00
Saint-Estèphe,100,17.5,100,535.00
Sauternes,95,17.5,96.5,75.00
Pauillac,93,None,95,56.00
Pomerol,81,16,87.5,27.00
Margaux,None,None,89.5,20.00
Pomerol,94,17,95,135.17
Bordeaux Blancs Secs,90,None,93,90.00
Saint-Estèphe,87.0,16.5,91.5,113.33
Margaux,98,19,100,1 190.00
Pauillac,94.0,16.5,95.5,69.00
Pomerol,94.5,17,95.5,86.00
Lalande de Pomerol,None,17,92.5,18.50
Pomerol,90.0,None,92,30.00
Margaux,90.0,17,94.5,251.67
Saint-Emilion,90,17,92,43.00
Saint-Estèphe,87.5,16.5,93.5,28.00
Saint-Emilion,None,16.5,95.5,325.00
Saint-Julien,100,18,100,465.00
Haut-Médoc,None,16.5,None,294.00
Pessac-Léognan,92,16.5,92,33.83
Saint-Emilion,91,16,94,42.00
Canon-Fronsac,None,None,92.5,22.00
Saint-Julien,94,17.5,95,109.17
Saint-Estèphe,92.0,17,96.5,46.00
Bordeaux Blancs Secs,None,17,None,22.00
Margaux,89,16,94.5,48.00
Sauternes,90,17,88,49.00
Margaux,93.0,16.5,95.5,88.00
Médoc,85,None,93,16.67
Pomerol,84,16.5,89.5,28.00
Haut-Médoc,None,None,92,21.50
Saint-Emilion,92.0,None,93,33.00
Pauillac,88,17,96,260.00
Pomerol,87,None,90.5,39.00
Saint-Estèphe,92.0,16,93.5,24.50
Pessac-Léognan,93.0,16.5,97.5,84.83
Pauillac,95,16.5,94.5,195.00
Bordeaux Blancs Secs,None,None,None,27.33
Saint-Estèphe,94.0,17.5,96.5,588.33
Pessac-Léognan,91.0,None,93.5,22.67
Saint-Emilion,95.0,17,96.5,1 950.00
Margaux,94.0,16,96.5,56.17
Saint-Julien,None,None,92,25.00
Sauternes,90,16.5,None,55.00
Graves,None,16,92,18.00
Pessac-Léognan,91.0,17-,94,52.00
Pauillac,96,18,93,199.00
Castillon Côtes de Bordeaux,92,15.5,92,23.50
Margaux,92,16,94,133.00
Francs Côtes de Bordeaux,91,None,93,20.83
Saint-Emilion,91,16,98,89.00
Pessac-Léognan,100,18,99,440.00
Saint-Emilion,None,None,93,33.83
Saint-Emilion,None,16,93,30.67
Pessac-Léognan,94,18,97,105.00
Moulis,89.0,16,89.5,21.17
Pauillac,None,None,None,72.00
Médoc,87,16,88,45.00
Fronsac,92.0,16.5,94,25.00
Saint-Emilion,95,15.5,96,90.00
Saint-Julien,94.0,16,94.5,43.00
Saint-Estèphe,92.0,16,92.5,19.00
Pomerol,94.0,16.5,95,100.83
Saint-Emilion,97,17,98,599.00
Margaux,None,15,90,19.50
Pauillac,92,18,97,63.00
Pessac-Léognan,96,17.5,98,380.00
Saint-Emilion,93,17,94,47.83
Saint-Julien,96,17,96.5,235.00
Margaux,None,None,92,26.00
Pomerol,92,16,93.5,99.00
Saint-Julien,94,16.5,96,86.00
Francs Côtes de Bordeaux,91,None,94,43.33
Saint-Emilion,96,None,98,190.00
Pessac-Léognan,95,19,None,390.00
Saint-Emilion,94,15.5,94,70.00
Pauillac,91,17,92,48.00
Saint-Julien,None,16.5,94.5,408.33
Pessac-Léognan,None,16,91.5,18.83
Saint-Emilion,91,None,94,41.00
Saint-Julien,93,17,95,109.00
Haut-Médoc,None,15.5,91.5,19.00
Saint-Emilion,94.0,16,93,55.00
Pomerol,90.0,15.5,95.5,53.00
Saint-Estèphe,91.0,15.5,92.5,165.00
Pauillac,97,17.5,95,399.00
Sauternes,89,15.5,None,44.00
Saint-Emilion,91,16.5,93,36.00
Margaux,91,16.5,97,76.00
Margaux,92,16.5,93,43.00
Pomerol,91,16.5,95,111.33
Pessac-Léognan,99,18,100,875.00
Pomerol,91.0,None,93,66.00
Haut-Médoc,90,None,91,18.67
Pauillac,None,15.5,None,26.00
Margaux,95,17,98,620.00
Margaux,93,16,94,42.00
Sauternes,83,None,None,20.00
Margaux,None,None,92,39.00
Saint-Julien,91.0,16.5,93.5,49.00
Lalande de Pomerol,87.0,None,89,17.17
Saint-Emilion,None,16.5,93.5,26.17
Margaux,94.0,16.5,93.5,251.67
Haut-Médoc,None,14.5,92,17.17
Saint-Emilion,89,None,92,62.00
Saint-Estèphe,91,16.5,94,51.00
Pessac-Léognan,89,None,94,24.00
Pauillac,100,17.5,99,275.00
Sauternes,80,15,None,37.00
Pessac-Léognan,96,17.5,98,179.00
Saint-Emilion,97,17.5,97,490.00
Saint-Estèphe,94.0,16.5,96.5,428.33
Saint-Emilion,93,16,92,42.00
Saint-Estèphe,94.0,16.5,96.5,594.17
Pauillac,92,17,95,57.00
Saint-Emilion,90,15.5,94,40.00
Saint-Emilion,None,16,94.5,28.67
Bordeaux,None,17,None,20.00
Pomerol,92.0,16,95,99.00
Saint-Emilion,None,15,89.5,37.00
Sauternes,95.0,16,93,133.00
Saint-Julien,89.0,17,92.5,142.50
Pomerol,93,17,96,79.00
Sauternes,93,17.5,92,49.33
Sauternes,90,16,95.5,77.00
Barsac,95,16.5,96,44.00
Pomerol,None,None,92.5,35.00
Saint-Emilion,91.0,None,92,30.00
Saint-Julien,90.0,16.5,94.5,335.83
Saint-Emilion,88,None,None,30.00
Médoc,89.0,16,92,33.33
Saint-Emilion,94.0,17,99,215.00
Saint-Emilion,97.0,17.5,97.5,245.00
Saint-Emilion,91,16,92,47.00
Haut-Médoc,90.0,16,93,19.50
Pomerol,91,15,90.5,53.00
Saint-Emilion,89,15,93,39.00
Saint-Emilion,93,14,94.5,101.00
Margaux,93,16.5,94,49.92
Saint-Emilion,None,None,92,26.00
Saint-Julien,93,18.5,96,65.00
Saint-Julien,95.0,17.5,97.5,199.00
Pessac-Léognan,95,17,93,289.00
Pauillac,95,18,96,99.00
Saint-Emilion,96,17,98,119.00
Montagne-Saint-Emilion,None,None,91.5,21.83
Saint-Julien,92,16.5,93,106.00
Margaux,93,16.5,94,60.00
Saint-Emilion,91,16,95,47.00
Saint-Julien,93.0,16.5,None,299.17
Pauillac,90,None,None,33.00
Pauillac,89.5,None,92.5,36.67
Saint-Estèphe,87.0,None,91.5,168.33
Saint-Emilion,None,None,91,16.00
Saint-Estèphe,87,16,94,39.33
Moulis,None,15.5,87.5,32.50
Saint-Emilion,94,17.5,97,145.00
Pomerol,92.0,None,94,78.00
Moulis,87.0,16,91.5,125.00
Sauternes,99,18,99,550.00
Saint-Emilion,89,15,92.5,38.00
Margaux,96.0,17.5,99.5,524.17
Pomerol,None,None,93.5,27.00
Margaux,87,16,93,29.00
Pauillac,92.0,17,94.5,53.00
Pauillac,92.5,16,93.5,50.50
Saint-Julien,92.0,16.5,95.5,55.83
Saint-Emilion,94,16,92,50.00
Bordeaux Supérieur,None,None,90.5,5.42
Pomerol,None,None,93.5,48.00
Saint-Julien,None,None,93,32.25
Saint-Julien,92.0,None,96.5,630.00
Pessac-Léognan,94,16,95,118.00
Haut-Médoc,86.0,16.5,93,46.00
Pessac-Léognan,97,16,99,195.00
Sauternes,88,18,None,39.00
Margaux,93,17,94,55.00
Fronsac,90.0,None,90.5,12.00
Pomerol,92.0,16,93,54.92
Saint-Emilion,97,16,95,125.00
Margaux,89,None,91,24.50
Saint-Emilion,91.0,16,93.5,32.00
Saint-Estèphe,91.0,16.5,94.5,40.00
Pomerol,93,17-,96,99.00
Saint-Emilion,95,15.5,94,444.00
Haut-Médoc,84,15,90,15.50
Saint-Emilion,93,None,94,46.83
Margaux,None,16.5,95,54.33
Pessac-Léognan,92.0,None,93.5,23.00
Montagne-Saint-Emilion,88.0,15.5,92,33.50
Saint-Emilion,None,None,95,49.67
Haut-Médoc,None,15.5,92,35.92
Saint-Estèphe,92,16.5,94,70.00
Saint-Emilion,98,16.5,98,475.00
Pauillac,97,17.5,99,219.00
Saint-Emilion,100,17.5,98,170.00
Saint-Emilion,94,17.5,98,388.00
Margaux,93,17.5,95,68.00
Saint-Emilion,94.0,16,94.5,78.67
Margaux,93.0,16.5,96.5,177.00
Margaux,98,18,99,1 110.00
Saint-Emilion,94.0,16.5,94.5,504.17
Pauillac,91.0,17,93.5,52.00
Pomerol,88.0,None,90,95.00
Saint-Julien,90.0,None,94.5,193.33
Sauternes,87,17,98,70.00
Saint-Julien,93.0,16.5,93.5,185.83
Margaux,None,15.5,94,65.00
Graves,89,16.5,90,17.50
Saint-Emilion,86.0,None,93,35.00
Saint-Emilion,93,None,97,129.00
Saint-Emilion,92.0,16,93,63.00
Pauillac,96,16.5,95,880.00
Saint-Emilion,None,15.5,None,22.67
Saint-Emilion,96,17.5,98,199.00
Saint-Estèphe,91,17,91,45.08
Margaux,None,16,None,146.67
Saint-Emilion,None,14,93,39.00
Margaux,99,18.5,99,990.00
Saint-Julien,98,18.5,98,475.00
Sauternes,95,18,97,79.00
Castillon Côtes de Bordeaux,92,16,None,22.33
Barsac,92,16.5,None,59.00
Margaux,94,15.5,95,58.00
Margaux,92,15.5,94,48.00
Saint-Estèphe,None,None,89.5,19.00
Saint-Emilion,None,None,91,24.00
Sauternes,91,None,93,25.00
Saint-Emilion,90.0,None,91,53.00
Saint-Emilion,89.0,16.5,96.5,251.67
Pomerol,94,17.5,97,129.00
Pomerol,None,None,91,58.00
Haut-Médoc,87.0,14.5,90,34.00
Saint-Emilion,87,15.5,94,52.00
Pauillac,96.0,17.5,96.5,152.33
Saint-Emilion,90,14.5,92,87.00
Saint-Emilion,90,16,91.5,35.00
Pessac-Léognan,95.0,17,97.5,262.00
Saint-Estèphe,95,17,98,186.00
Sauternes,97,18.5,99,505.00
Saint-Emilion,92,None,91.5,29.00
Saint-Emilion,91,16.5,91,24.50
Barsac,94,16.5,93,39.00
Haut-Médoc,None,None,92,22.00
Pessac-Léognan,95.0,17,98.5,132.83
Médoc,91,16,94,37.42
Margaux,88.5,15.5,94.5,22.67
Saint-Emilion,96,17,94,655.00
Pessac-Léognan,92,16,97,49.00
Bordeaux Blancs Secs,88.0,None,93,85.00
Saint-Emilion,91.0,None,92,42.00
Margaux,94.0,17.5,97.5,1 931.67
Margaux,94.5,16.5,95.5,58.17
Pauillac,88.0,16,93.5,195.00
Barsac,96.0,16,94,45.00
Margaux,94,17,94,120.00
Sauternes,93,18,93.5,105.00
Saint-Emilion,95,17,96,103.00
Saint-Julien,87.0,16,None,109.17
Saint-Emilion,98,18.5,98,450.00
Pauillac,91.0,17,None,38.00
Saint-Emilion,98,16.5,94,761.67
Saint-Emilion,None,16,94.5,30.33
Saint-Emilion,None,None,94.5,51.00
Saint-Emilion,94.0,16.5,96,140.00
Margaux,98,17,100,990.00
Saint-Emilion,90,None,None,210.00
Margaux,90.0,16,94,27.00
Pomerol,93.5,16.5,94.5,69.83
Pauillac,87.0,16.5,93.5,34.00
Haut-Médoc,None,15,92.5,22.83
Saint-Julien,94.0,17,97.5,677.50
Margaux,None,16,None,90.00
Saint-Emilion,92,15,95,115.00
Pomerol,None,16.5,95.5,52.33
Saint-Emilion,93,16.5,94,86.00
Saint-Emilion,None,16.5,91.5,49.00
Pomerol,95.0,17.5,97.5,270.00
Saint-Emilion,92,16,98,86.00
Pauillac,90,17,96,46.00
Saint-Emilion,None,15.5,94.5,32.00
Saint-Emilion,90.0,16,91.5,135.00
Saint-Emilion,94.0,15.5,94,72.00
Pomerol,95,None,96,117.50
Saint-Estèphe,91.0,16,93.5,100.83
Margaux,None,16.5,93.5,201.67
Saint-Emilion,92.0,None,94,35.00
Moulis,89,15,94,36.17
Haut-Médoc,89.0,16,92,31.60
Margaux,100,18,100,1 065.00
Sauternes,92,18,97,61.00
Saint-Emilion,94.0,16.5,95.5,504.17
Pauillac,91.5,17,None,570.83
Pomerol,88.0,15.5,93.5,279.17
Margaux,None,None,91,19.00
Margaux,90.5,16.5,93.5,335.83
Saint-Emilion,None,17,95,450.00
Pauillac,None,None,90,24.50
Margaux,91.5,17,93.5,201.67
Saint-Emilion,100,15.5,99,470.00
Pomerol,89,17,94,76.00
Pessac-Léognan,92,16,95,99.00
Pomerol,None,None,95,72.00
Margaux,None,16,93.5,168.33
Margaux,93,17,96,79.17
Bordeaux,None,16.5,None,20.00
Saint-Julien,95.0,15,96.5,219.00
Saint-Emilion,93,16,96,56.00
Barsac,87,17,89,49.00
Pomerol,93,15.5,92,73.00
Sauternes,88,None,None,35.00
Pessac-Léognan,99,19,97,1 095.00
Pauillac,90,14,93,45.00
Saint-Julien,96,16.5,98,305.00
Saint-Emilion,95,16.5,96,110.00
Sauternes,94,17.5,95,64.00
Pessac-Léognan,91,16.5,96,170.00
Saint-Emilion,None,15,92,26.50
Saint-Julien,87.0,15,None,50.83
Pomerol,91,15.5,93,84.00
Saint-Emilion,94,16.5,93,54.00
Haut-Médoc,85,16,89,39.58
Pomerol,89,15.5,95,120.00
Margaux,None,None,None,84.17
Pomerol,91.0,None,93.5,36.00
Haut-Médoc,87,16.5,88,62.00
Pauillac,92.0,17.5,97.5,1 788.33
Saint-Emilion,94.0,16.5,None,49.00
Haut-Médoc,None,None,92,17.00
Lalande de Pomerol,90,16.5,91.5,150.00
Montagne-Saint-Emilion,90,16.5,89.5,26.00
Pomerol,88.0,None,94.5,42.50
Pauillac,88.0,16.5,95.5,765.00
Saint-Emilion,96,17.5,98,1 825.00
Margaux,87,17,91.5,86.00
Saint-Emilion,98,18.5,99,925.00
Sauternes,None,18,None,279.17
Margaux,None,None,92,50.00
Pessac-Léognan,88,None,92.5,22.50
Bordeaux Blancs Secs,None,None,None,14.00
Haut-Médoc,91,None,92,16.67
Canon-Fronsac,None,None,91.5,105.00
Saint-Emilion,87,None,92,28.08
Haut-Médoc,87.5,15.5,None,69.00
Margaux,None,16,93.5,54.00
Saint-Emilion,90,15,None,115.00
Haut-Médoc,89.0,None,None,14.00
Haut-Médoc,92,16,93,37.00
Saint-Emilion,93,16.5,94,85.00
Saint-Emilion,98,17.5,100,1 950.00
Haut-Médoc,None,14.5,None,21.67
Haut-Médoc,None,None,89.5,14.83
Saint-Emilion,100,18.5,99,1 490.00
Pomerol,91.0,None,94,65.42
Saint-Estèphe,89.0,16.5,None,26.25
Saint-Emilion,93,16.5,96,243.33
Saint-Julien,88.0,None,93,58.00
Listrac,89,16.5,87.5,19.00
Saint-Emilion,91,16,93,77.00
Pomerol,94,16.5,97.5,295.00
Saint-Emilion,93,16,92,85.00
Haut-Médoc,85.0,16.5,93,16.67
Listrac,87,16,90,19.00
Margaux,87.0,15.5,94,49.00
Pomerol,96,17,95,290.00
Margaux,87,16,94,69.00
Margaux,85,None,93,22.50
Pomerol,86,17,97,99.00
Pomerol,87,15.5,89,58.25
Pomerol,93,16,87.5,69.00
Pauillac,100,18,100,950.00
Saint-Emilion,94,16.5,94,157.00
Haut-Médoc,91.0,None,90.5,19.50
Saint-Emilion,98,17.5,96,1 050.00
Saint-Emilion,94,16.5,94,240.00
Saint-Emilion,92,16.5,95,243.33
Saint-Emilion,91,15,92,195.00
Margaux,93,17.5,95,94.00
Saint-Emilion,95,17,98,110.00
Castillon Côtes de Bordeaux,92,None,90,33.00
Saint-Emilion,None,16,94.5,34.00
Pomerol,95,15.5,95,265.00
Saint-Emilion,93,16,93,26.00
Saint-Emilion,95,16.5,95,765.00
Saint-Julien,90,16.5,89.5,63.00
Puisseguin-Saint-Emilion,90.0,None,90,30.00
Pessac-Léognan,90,15.5,94,49.00
Saint-Emilion,94,16-,95,230.00
Saint-Estèphe,91,15,91,25.00
Pomerol,95,16.5,96.5,330.00
Sauternes,None,None,89.5,25.50
Pessac-Léognan,94.0,17,97.5,1 680.00
Margaux,87.0,None,92.5,113.33
Pomerol,85,15.5,90,49.00
Sauternes,87,None,None,42.00
Saint-Emilion,92,17,None,176.83
Saint-Emilion,None,None,91.5,46.00
Saint-Emilion,92,15.5,93,47.00
Saint-Emilion,89,16.5,95.5,290.00
Margaux,93.0,17,95.5,71.67
Margaux,90.0,17.5,95.5,81.00
Saint-Emilion,98,18.5,100,1 050.00
Pomerol,90.0,15.5,94,50.00
Margaux,89.0,None,91.5,125.83
Saint-Emilion,94,15,95,210.00
Saint-Emilion,None,None,95.5,131.00
Castillon Côtes de Bordeaux,91.0,16.5,92.5,20.17
Saint-Emilion,92,15.5,95,156.00
Pessac-Léognan,90.0,16,92.5,142.50
Saint-Emilion,95.5,17.5,97.5,378.17
Margaux,87.0,15.5,92.5,131.67
Pomerol,90,16,94,41.00
Pessac-Léognan,91.0,17,95.5,225.00
Saint-Emilion,95,16,93,765.00
Margaux,93,16,95,261.00
Pauillac,95,16,96,129.00
Saint-Emilion,100,17,93,1 096.67
Saint-Emilion,91.5,17.5,97.5,1 260.00
Pessac-Léognan,88.0,15,89.5,21.00
Saint-Emilion,99,17.5,98,1 050.00
Saint-Emilion,89,None,90,460.00
Saint-Emilion,91,15.5,93,175.00
Sauternes,92,16,93,43.00
Pauillac,91,17,96,99.00
Pessac-Léognan,91.0,16,94.5,29.50
Pessac-Léognan,91.0,16,95.5,65.83
Canon-Fronsac,91,None,92,26.00
Pessac-Léognan,100,17.5,96,396.00
Pomerol,95,16,96,225.00
Saint-Emilion,93,17.5,None,1 065.00
Saint-Emilion,92,15.5,95,199.00
Pauillac,88,15,91.5,38.50
Pessac-Léognan,92,16,94,124.00
Pomerol,89,None,92.5,59.00
Pauillac,91,15,94,40.00
Listrac,None,15,92,15.00
Saint-Emilion,89.5,17.5,89.5,168.33
Haut-Médoc,88,15.5,94,29.00
Pomerol,93,16.5,95,75.00
Saint-Emilion,99,18,98,1 053.33
Pauillac,92,17,96,350.00
Sauternes,94,17,91,51.83
Barsac,91,18,None,99.83
Pauillac,88.0,16,95.5,155.83
Saint-Julien,91,None,95,61.17
Haut-Médoc,87.0,None,91.5,88.33
Saint-Emilion,None,None,92.5,120.00
Pauillac,89,16.5,94,240.00
Saint-Estèphe,97.0,17.5,97,195.00
Moulis,None,16,91.5,100.83
Saint-Emilion,92,16.5,None,870.00
Saint-Emilion,93,None,94,45.75
Barsac,87,None,None,61.33
Graves,None,15.5,92,17.67
Bordeaux Blancs Secs,91.0,16.5,94.5,160.00
Saint-Emilion,None,16,92.5,39.00
Saint-Julien,96,16,96,80.00
Margaux,94,17,94,65.83
Saint-Julien,None,15.5,92,60.00
Pessac-Léognan,89.0,None,92,23.50
Haut-Médoc,89,16.5,None,129.00
Pauillac,None,16,91.5,27.00
Pessac-Léognan,95.0,16.5,97.5,131.00
Pomerol,94.0,17.5,97.5,305.67
Saint-Emilion,97.0,None,95.5,157.33
Fronsac,None,16,92,25.33
Margaux,91.0,18,95.5,82.00
Margaux,99,17.5,100,1 850.00
Barsac,91,16.5,None,54.00
Pessac-Léognan,86.0,15.5,92.5,135.00
Saint-Emilion,97,18.5,98,375.00
Pauillac,98.0,18,97.5,597.83
Sauternes,93,19-,None,40.00
Francs Côtes de Bordeaux,89,16,93,21.33
Saint-Emilion,93,15.5,94,96.00
Saint-Emilion,94,None,91.5,49.00
Saint-Emilion,94,16,95,140.00
Pomerol,90.0,16,93,67.67
Pessac-Léognan,87,16,93,24.00
Margaux,89.0,14,91.5,34.50
Saint-Emilion,91,17,None,505.00
Saint-Emilion,95,None,94,71.00
Saint-Emilion,92.0,16.5,93,42.00
Pomerol,None,15,92.5,29.00
Listrac,None,16,92,23.50
Pomerol,82,None,93,30.00
Haut-Médoc,89.0,16,93.5,113.33
Saint-Estèphe,93,17,96,59.00
Pessac-Léognan,99,18,98,608.50
Margaux,None,16,92.5,41.17
Haut-Médoc,89.0,15.5,92,32.00
Saint-Emilion,None,None,None,13.00
Saint-Georges-Saint-Emilion,87,None,91,25.83
Saint-Estèphe,None,16.5,93.5,201.67
Pomerol,92.0,17,97.5,840.00
Pomerol,None,None,91.5,30.00
Saint-Emilion,93.0,16.5,95.5,175.00
Médoc,88.0,16,91,31.17
Pessac-Léognan,89.5,None,94.5,125.83
Saint-Estèphe,91,17,94,51.00
Moulis,None,15,92.5,99.17
Pauillac,92,16,94,230.00
Saint-Emilion,None,16,93.5,145.83
Saint-Emilion,88.0,None,90.5,90.00
Bordeaux Blancs Secs,None,None,None,28.50
Saint-Emilion,None,16.5,95,42.00
Moulis,90,15,92,39.00
Puisseguin-Saint-Emilion,89,16.5,92,35.00
Pessac-Léognan,92,15,93,29.08
Saint-Julien,None,16.5,94.5,43.00
Saint-Estèphe,None,None,92,22.00
Saint-Estèphe,90,17,93,34.00
Saint-Emilion,94.0,17,96.5,73.33
Saint-Julien,90,16.5,None,180.00
Saint-Emilion,96,18,98,720.00
Pomerol,92,17.5,94,99.00
Saint-Emilion,92,16.5,95,124.00
Pomerol,99,16.5,99,275.00
Margaux,95,17.5,97,680.00
Margaux,93,17,97,226.00
Margaux,None,None,None,65.83
Pessac-Léognan,90,15.5,93,145.00
Pomerol,None,None,None,139.00
Saint-Emilion,96,18,96,150.00
Pomerol,91,16,94,102.00
Saint-Emilion,91.0,16.5,96.5,73.33
Margaux,87.0,16.5,95,79.00
Saint-Emilion,93,17,93,44.00
Saint-Emilion,95,17.5,96,109.00
Sauternes,90,18,None,45.00
Lalande de Pomerol,91,16,95,105.00
Saint-Emilion,96,16,98,180.00
Médoc,None,15,None,29.50
Castillon Côtes de Bordeaux,92.0,15.5,93.5,19.33
Saint-Emilion,92,15.5,92,50.00
Pauillac,95,17,95,414.00
Saint-Emilion,91,16.5,94,63.00
Sauternes,95,16.5,None,60.00
Saint-Emilion,92.0,16.5,95,196.00
Saint-Julien,87.0,15.5,93.5,123.33
Pauillac,93.0,16.5,95.5,81.17
Saint-Emilion,92.0,None,93,37.50
Saint-Emilion,90,15,95,118.00
Sauternes,97,18,None,81.00
Sauternes,95,17.5,None,60.00
Saint-Emilion,93.0,None,95.5,300.00
Saint-Emilion,None,None,91.5,40.00
Bordeaux Blancs Secs,91.0,15.5,93.5,48.00
Pauillac,91.0,16,90.5,42.00
Saint-Emilion,95,17,94,55.17
Margaux,93,16,96,83.00
Margaux,91,16,93,150.00
Pomerol,98,17.5,98,380.00
Castillon Côtes de Bordeaux,89,None,None,29.00
Pessac-Léognan,91,16.5,92,101.00
Sauternes,None,None,None,21.00
Graves,None,15.5,92.5,16.00
Pomerol,94.0,16.5,96.5,224.00
Pauillac,93,16.5,96,55.00
Pessac-Léognan,91,16,94.5,49.00
Pomerol,88,16.5,95,99.00
Pomerol,None,None,93.5,264.17
Haut-Médoc,None,None,92.5,15.75
Saint-Emilion,94.0,16.5,None,265.00
Saint-Estèphe,85,16.5,None,49.00
Sauternes,92.0,16,93,40.00
Saint-Emilion,96,17.5,97,120.00
Barsac,96.0,17.5,93,54.00
Pessac-Léognan,95,16,97,198.33
Pomerol,99,17.5,97,680.00
Saint-Emilion,100,18.5,96,499.00
Bordeaux Blancs Secs,94.0,16.5,96.5,350.00
Pauillac,90,15.5,93,41.67
Pauillac,96,17,99,1 066.67
Saint-Emilion,91.0,None,92.5,19.83
Saint-Julien,94,16,None,190.00
Saint-Emilion,93.0,16,93.5,44.00
Saint-Emilion,92,16,95,52.42
Saint-Julien,None,None,None,28.00
Saint-Emilion,None,16.5,95.5,83.00
Fronsac,89,None,91.5,14.50
Pomerol,None,None,90.5,149.00
Margaux,97,17.5,99,890.00
Saint-Emilion,93.0,14.5,94.5,76.00
Saint-Emilion,87,15,92,33.00
Pomerol,83.0,16.5,94,59.00
Margaux,94,16,96,49.00
Pomerol,92.0,16,94,39.50
Saint-Emilion,85.5,None,92,35.00
Pessac-Léognan,90.0,None,93.5,24.00
Pomerol,98,18.5,98,290.00
Pomerol,98,18,99,425.00
Saint-Estèphe,90.0,16,93.5,117.50
Sauternes,93.0,17,93,61.00
Pomerol,92.0,None,95,108.00
Saint-Emilion,94,17,97.5,117.00
Saint-Julien,None,16.5,94.5,199.17
Saint-Emilion,94,16.5,94,53.00
Saint-Emilion,91.0,16.5,93,40.00
Sauternes,91.0,16,None,34.00
Saint-Emilion,93.0,17,96.5,266.67
Pomerol,None,None,95,99.00
Pomerol,88.0,None,92.5,37.00
Saint-Julien,93.5,16.5,94.5,90.00
Moulis,89,None,93,71.67
Margaux,89,17,None,340.00
Pomerol,88,16-,88.5,38.20
